year,samples,avg_substances_per_sample,max_substances
1996,33,2.182,4
1999,69,1.188,4
2000,333,1.267,4
2001,332,1.283,6
2002,300,1.417,4
2003,155,1.484,4
2004,159,2.031,5
2005,136,1.625,4
2006,46,2.413,5
2007,68,2.044,6
2008,46,2.609,6
2009,138,2.449,6
2010,177,1.695,6
2011,300,1.723,5
2012,305,1.784,6
2013,313,1.581,5
2014,400,1.458,6
2015,638,1.323,9
2016,924,1.273,10
2017,831,1.221,7
2018,1040,1.264,9
2019,1195,1.349,9
2020,1495,1.991,13
2021,2350,2.435,17
2022,3209,2.575,16
2023,3372,2.505,15
2024,657,3.374,14