analog,year_first_detected,month_first_detected
Fentanyl,2005,7
iso-Butanoyl-4-fluorofentanyl,2014,12
Acetylfentanyl,2015,2
Butyrfentanyl,2015,3
4-Fluorobutyrfentanyl,2016,5
Furanylfentanyl,2016,5
4-Fluoroisobutyrylfentanyl,2016,12
Cyclopropyl Fentanyl,2017,5
Benzyl fentanyl,2017,9
MethoxyacetylfentanylMethoxyacetylfentanyl,2017,10
Phenylfentanyl,2017,12
N-Benzylfuranylfentanyl,2018,6
N-Boc Norfentanyl,2020,10
Norfentanyl,2020,10
4-Fluorofentanyl,2020,12
Despropionyl-4-fluorofentanyl,2020,12
Fluoro-norfentanyl t-Boc,2020,12
Valerylfentanyl,2021,2
Despropionyl-3-methylfentanyl,2021,3
Despropionyl-4-bromofentanyl,2021,3
4-Chlorofentanyl,2021,5
Propionyl-fluoronorfentanyl,2021,10
N-Propionylnorfentanyl,2022,7
4-Fluoroacetylfentanyl,2023,6
4-fluoro-norfentanyl,2023,7
2-Fluorofentanyl,2023,11