year,sample_count,mean_lag_days,min_lag_days,max_lag_days
1996,33,0.0,0,0
1999,69,0.0,0,0
2000,333,0.0,0,0
2001,332,-0.003,0,0
2002,300,1.557,0,18
2003,156,99.904,0,1935
2004,159,79.805,-35,1604
2005,136,33.926,-101,999
2006,46,265.717,0,844
2007,68,205.309,0,815
2008,46,212.674,0,640
2009,138,108.043,0,605
2010,178,36.601,-2,502
2011,300,17.693,0,159
2012,305,4.302,0,55
2013,313,20.620,0,99
2014,400,29.935,0,901
2015,638,1.082,-1,33
2016,924,4.749,-21,373
2017,831,4.610,-52,227
2018,1040,3.916,-7,109
2019,1195,2.972,-24,44
2020,1495,2.307,-25,233
2021,2350,2.340,-9,63
2022,3212,2.557,-21,129
2023,3376,12.768,0,244
2024,659,2.642,0,21